RecSN,dtf,Hex,GPS Names,rkm,Genrkm,Rel_group,FishID,Lat,Lon,Weight,Length,ID,site.code,array.code,combo,counter,first_or_last
2017-6024,2019-04-03T08:20:59Z,BA6E,SJ_Moss_1_J,163.12,163.12,2019UP,NA,37.79,-121.3,4.8,79,1336468,A10,A10,BA6EA10,1,TRUE
sm18-7023,2019-04-03T09:19:18Z,BA6E,HOR_SM1,159.42,159.42,2019UP,NA,37.8,-121.32,4.8,79,1339283,A11,A11,BA6EA11,1,TRUE
2015-6006,2019-04-03T09:43:29Z,BA6E,OR_HOR_3_J,158.12,158.12,2019UP,NA,37.81,-121.33,4.8,79,1340592,B1b,B1,BA6EB1b,1,TRUE
2015-6038,2019-04-04T15:08:46Z,BA6E,CC_RGU2_J,142.72,142.72,2019UP,NA,37.83,-121.55,4.8,79,1415642,E1a,E1,BA6EE1a,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BA72,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,5.77,85,NA,REL,REL,BA72REL,1,FALSE
156014,2019-02-28T18:18:03Z,BA72,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,5.77,85,1851,A1,A1,BA72A1,1,TRUE
2018-6013,2019-03-01T14:30:14Z,BA72,SJ_Blw_Newman_2_J,259.34,259.34,2019UP,NA,37.33,-120.97,5.77,85,31216,A3,A3,BA72A3,1,TRUE
20187021,2019-03-09T07:31:25Z,BA72,SJ_Hills_RT_2_DS,257.6,257.6,2019UP,NA,37.35,-120.97,5.77,85,89124,A4,A4,BA72A4,1,TRUE
2017-6005,2019-03-26T14:05:58Z,BA72,SJ_BlwCrowsLanding_1_J,240.1,240.1,2019UP,NA,37.43,-121.01,5.77,85,889298,A5,A5,BA72A5,1,TRUE
2017-6030,2019-03-27T04:04:44Z,BA72,SJ_BlwWGrayson_1_J,210.7,210.7,2019UP,NA,37.57,-121.15,5.77,85,921743,A6,A6,BA72A6,1,TRUE
2015-6001,2019-03-27T14:15:20Z,BA72,SJ_Durhamferry_1_J,181.8,181.8,2019UP,NA,37.69,-121.27,5.77,85,953132,A8,A8,BA72A8,1,TRUE
2017-6016,2019-03-27T16:52:42Z,BA72,SJ_BCA_1_J,171.7,171.7,2019UP,NA,37.73,-121.29,5.77,85,961040,A9,A9,BA72A9,1,TRUE
2017-6024,2019-03-27T19:27:22Z,BA72,SJ_Moss_1_J,163.12,163.12,2019UP,NA,37.79,-121.3,5.77,85,968149,A10,A10,BA72A10,1,TRUE
am18-6006,2019-03-27T20:35:40Z,BA72,HOR_AM2,159.42,159.42,2019UP,NA,37.8,-121.32,5.77,85,971014,A11,A11,BA72A11,1,TRUE
2017-6028,2019-03-28T00:48:37Z,BA72,SJ_Howard_2_J,148.16,148.16,2019UP,NA,37.87,-121.33,5.77,85,978537,A13,A13,BA72A13,1,TRUE
2017-6039,2019-03-28T03:36:04Z,BA72,SJ_SJG_1_J,140.33,140.33,2019UP,NA,37.93,-121.33,5.77,85,983552,A14,A14,BA72A14,1,TRUE
2017-6001,2019-03-30T13:00:25Z,BA72,Delt_TC_2_J,127.21,127.22,2019UP,NA,37.98,-121.46,5.77,85,1119253,F1,F1,BA72F1,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BA74,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,5.1,79,NA,REL,REL,BA74REL,1,FALSE
156014,2019-02-28T18:19:18Z,BA74,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,5.1,79,2407,A1,A1,BA74A1,1,TRUE
2017-6013,2019-03-19T00:01:27Z,BA74,SJ_Blw_Newman_1_J,259.39,259.39,2019UP,NA,37.33,-120.97,5.1,79,456511,A3,A3,BA74A3,1,TRUE
20187021,2019-03-19T03:09:38Z,BA74,SJ_Hills_RT_2_DS,257.6,257.6,2019UP,NA,37.35,-120.97,5.1,79,462420,A4,A4,BA74A4,1,TRUE
2017-6005,2019-03-30T03:01:44Z,BA74,SJ_BlwCrowsLanding_1_J,240.1,240.1,2019UP,NA,37.43,-121.01,5.1,79,1098287,A5,A5,BA74A5,1,TRUE
156008,2019-03-31T04:30:58Z,BA74,SJ_BlwWGrayson_2_J,210.7,210.7,2019UP,NA,37.57,-121.15,5.1,79,1143685,A6,A6,BA74A6,1,TRUE
2015-6001,2019-04-01T05:10:27Z,BA74,SJ_Durhamferry_1_J,181.8,181.8,2019UP,NA,37.69,-121.27,5.1,79,1196247,A8,A8,BA74A8,1,TRUE
2015-6013,2019-04-01T07:56:25Z,BA74,SJ_BCA_2_J,171.74,171.74,2019UP,NA,37.73,-121.29,5.1,79,1205206,A9,A9,BA74A9,1,TRUE
2017-6009,2019-04-01T18:47:12Z,BA74,SJ_Moss_2_J,163.12,163.12,2019UP,NA,37.79,-121.3,5.1,79,1244939,A10,A10,BA74A10,1,TRUE
am18-6006,2019-04-01T19:48:13Z,BA74,HOR_AM2,159.42,159.42,2019UP,NA,37.8,-121.32,5.1,79,1248012,A11,A11,BA74A11,1,TRUE
2017-6007,2019-04-01T20:14:12Z,BA74,SJ_HOR_1_J,158.45,158.45,2019UP,NA,37.81,-121.31,5.1,79,1249162,A12,A12,BA74A12,1,TRUE
2017-6028,2019-04-01T23:39:17Z,BA74,SJ_Howard_2_J,148.16,148.16,2019UP,NA,37.87,-121.33,5.1,79,1257677,A13,A13,BA74A13,1,TRUE
2017-6039,2019-04-02T02:42:50Z,BA74,SJ_SJG_1_J,140.33,140.33,2019UP,NA,37.93,-121.33,5.1,79,1266220,A14,A14,BA74A14,1,TRUE
2015-6034,2019-04-03T08:22:56Z,BA74,SJ_MAC_1_J,123.23,123.23,2019UP,NA,38.01,-121.46,5.1,79,1336634,A15a,A15,BA74A15a,1,TRUE
2017-6037,2019-04-03T09:15:35Z,BA74,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.1,79,1339118,A15b,A15,BA74A15b,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BA76,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,4.37,78,NA,REL,REL,BA76REL,1,FALSE
156014,2019-02-28T18:19:07Z,BA76,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,4.37,78,2309,A1,A1,BA76A1,1,TRUE
2017-6013,2019-03-01T01:29:49Z,BA76,SJ_Blw_Newman_1_J,259.39,259.39,2019UP,NA,37.33,-120.97,4.37,78,16522,A3,A3,BA76A3,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BA7A,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,4.32,75,NA,REL,REL,BA7AREL,1,FALSE
156014,2019-02-28T18:21:33Z,BA7A,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,4.32,75,3510,A1,A1,BA7AA1,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BA84,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,4.93,80,NA,REL,REL,BA84REL,1,FALSE
156014,2019-02-28T18:54:34Z,BA84,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,4.93,80,7858,A1,A1,BA84A1,1,TRUE
2017-6013,2019-03-18T07:35:30Z,BA84,SJ_Blw_Newman_1_J,259.39,259.39,2019UP,NA,37.33,-120.97,4.93,80,397097,A3,A3,BA84A3,1,TRUE
20187021,2019-03-21T20:28:02Z,BA84,SJ_Hills_RT_2_DS,257.6,257.6,2019UP,NA,37.35,-120.97,4.93,80,618479,A4,A4,BA84A4,1,TRUE
2017-6005,2019-03-23T04:49:42Z,BA84,SJ_BlwCrowsLanding_1_J,240.1,240.1,2019UP,NA,37.43,-121.01,4.93,80,697193,A5,A5,BA84A5,1,TRUE
2017-6030,2019-03-24T00:59:28Z,BA84,SJ_BlwWGrayson_1_J,210.7,210.7,2019UP,NA,37.57,-121.15,4.93,80,743489,A6,A6,BA84A6,1,TRUE
2015-6001,2019-03-24T14:23:15Z,BA84,SJ_Durhamferry_1_J,181.8,181.8,2019UP,NA,37.69,-121.27,4.93,80,777248,A8,A8,BA84A8,1,TRUE
2017-6016,2019-03-24T18:46:14Z,BA84,SJ_BCA_1_J,171.7,171.7,2019UP,NA,37.73,-121.29,4.93,80,786948,A9,A9,BA84A9,1,TRUE
am18-6006,2019-03-24T23:05:26Z,BA84,HOR_AM2,159.42,159.42,2019UP,NA,37.8,-121.32,4.93,80,795302,A11,A11,BA84A11,1,TRUE
2017-6038,2019-03-24T23:35:32Z,BA84,OR_HOR_1_J,158.12,158.12,2019UP,NA,37.81,-121.33,4.93,80,796236,B1a,B1,BA84B1a,1,TRUE
