RecSN,DetectDateTime,TagID_Hex,GPS Names,rkm,Genrkm,Rel_group,FishID,Lat,Lon,Weight,Length,ID
2017-6037,3/29/2019 0:19:24,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041100
2017-6037,3/29/2019 0:19:54,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041119
2017-6037,3/29/2019 0:20:34,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041143
2017-6037,3/29/2019 0:21:04,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041165
2017-6037,3/29/2019 0:21:09,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041168
2017-6037,3/29/2019 0:21:24,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041175
2017-6037,3/29/2019 0:21:29,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041179
2017-6037,3/29/2019 0:21:39,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041186
2017-6037,3/29/2019 0:21:44,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041189
2017-6037,3/29/2019 0:21:54,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041196
2017-6037,3/29/2019 0:21:59,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041199
2017-6037,3/29/2019 0:22:19,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041211
2017-6037,3/29/2019 0:22:44,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041224
2017-6037,3/29/2019 0:22:54,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041231
2017-6037,3/29/2019 0:23:15,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041245
2017-6037,3/29/2019 0:25:45,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041336
2017-6037,3/29/2019 0:26:00,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041345
2017-6037,3/29/2019 0:26:25,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041360
2017-6037,3/29/2019 0:26:35,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041367
2017-6037,3/29/2019 0:26:55,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041379
2017-6037,3/29/2019 0:27:20,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041390
2017-6037,3/29/2019 0:27:40,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041401
2017-6037,3/29/2019 0:27:55,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041409
2017-6037,3/29/2019 0:28:05,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041415
2017-6037,3/29/2019 0:28:30,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041428
2017-6037,3/29/2019 0:28:35,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041430
2017-6037,3/29/2019 0:28:56,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041440
2017-6037,3/29/2019 0:29:36,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041460
2017-6037,3/29/2019 0:29:56,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041471
2017-6037,3/29/2019 0:30:11,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041478
2017-6037,3/29/2019 0:31:51,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041525
2017-6037,3/29/2019 0:32:46,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041547
2017-6037,3/29/2019 0:32:51,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041549
2017-6037,3/29/2019 0:33:01,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041554
2017-6037,3/29/2019 0:37:42,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041665
2017-6037,3/29/2019 0:37:52,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041669
2017-6037,3/29/2019 0:38:07,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1041676
2017-6037,3/29/2019 3:13:46,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1046969
2017-6037,3/29/2019 3:13:51,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1046976
2017-6037,3/29/2019 3:14:41,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1047006
2017-6037,3/29/2019 3:15:31,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1047037
2017-6037,3/29/2019 3:15:41,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1047044
2017-6037,3/29/2019 3:15:51,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1047053
2017-6037,3/29/2019 3:17:02,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1047094
2017-6037,3/29/2019 3:17:07,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1047099
2017-6037,3/29/2019 3:17:12,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1047103
2017-6037,3/29/2019 3:17:37,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1047120
2017-6037,3/29/2019 3:17:42,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1047124
2017-6037,3/29/2019 3:18:07,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1047135
2017-6037,3/29/2019 3:19:22,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1047162
2017-6037,3/29/2019 3:19:37,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1047171
2017-6037,3/29/2019 3:19:42,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1047173
2017-6037,3/29/2019 3:19:52,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1047179
2017-6037,3/29/2019 3:19:57,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1047183
2017-6037,3/29/2019 3:20:02,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1047186
2017-6037,3/29/2019 3:20:07,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1047188
2017-6037,3/29/2019 3:20:32,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1047201
2017-6037,3/29/2019 3:20:37,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1047204
2017-6037,3/29/2019 3:20:42,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1047206
2017-6037,3/29/2019 3:20:47,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1047209
2017-6037,3/29/2019 3:20:57,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1047215
2017-6037,3/29/2019 3:21:07,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1047219
2017-6037,3/29/2019 3:21:32,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1047232
2017-6037,3/29/2019 3:21:37,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1047235
2017-6037,3/29/2019 3:21:42,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1047237
2017-6037,3/29/2019 3:21:47,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1047240
2017-6037,3/29/2019 3:21:52,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1047243
2017-6037,3/29/2019 3:22:38,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1047268
2017-6037,3/29/2019 3:26:43,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1047426
2017-6037,3/29/2019 3:27:29,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1047456
2017-6037,3/29/2019 3:27:34,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1047460
2017-6037,3/29/2019 3:28:04,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1047481
2017-6037,3/27/2019 17:47:53,C535,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.6,84,963957
2017-6037,3/27/2019 17:48:14,C535,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.6,84,963982
2017-6037,3/27/2019 17:48:54,C535,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.6,84,964030
2017-6037,3/27/2019 17:49:30,C535,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.6,84,964072
2017-6037,3/27/2019 17:49:35,C535,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.6,84,964077
2017-6037,3/27/2019 17:49:40,C535,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.6,84,964082
2017-6037,3/27/2019 17:49:50,C535,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.6,84,964094
2017-6037,3/27/2019 17:50:00,C535,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.6,84,964108
2017-6037,3/27/2019 17:50:20,C535,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.6,84,964137
2017-6037,3/27/2019 17:50:30,C535,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.6,84,964149
2017-6037,3/27/2019 17:50:35,C535,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.6,84,964153
2017-6037,3/27/2019 17:51:16,C535,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.6,84,964199
