RecSN,dtf,Hex,GPS Names,rkm,Genrkm,Rel_group,FishID,Lat,Lon,Weight,Length,Surgeon,ID
Downstream_Release,3/12/2019 20:41,CA99,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.4,81,,
Downstream_Release,3/12/2019 20:41,CBAB,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.7,79,,
Downstream_Release,3/12/2019 20:41,CA86,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.6,78,,
Downstream_Release,3/12/2019 20:41,CAE6,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.6,77,,
Downstream_Release,3/12/2019 20:41,CACC,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.2,81,,
Downstream_Release,3/12/2019 20:41,C96A,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.6,78,,
Downstream_Release,3/12/2019 20:41,CA16,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,6.6,84,,
Downstream_Release,3/12/2019 20:41,CB5E,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.6,84,,
Downstream_Release,3/12/2019 20:41,CA6C,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.4,83,,
Downstream_Release,3/12/2019 20:41,CB6D,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.9,84,,
Downstream_Release,3/12/2019 20:41,CAAE,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.2,81,,
Downstream_Release,3/12/2019 20:41,CA1A,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.8,79,,
Downstream_Release,3/12/2019 20:41,C9AD,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.6,79,,
Downstream_Release,3/12/2019 20:41,CAF2,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.8,79,,
Downstream_Release,3/12/2019 20:41,C9CA,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.3,80,,
Downstream_Release,3/12/2019 20:41,C968,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.8,80,,
Downstream_Release,3/12/2019 20:41,CA91,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,6.8,90,,
Downstream_Release,3/12/2019 20:41,CA76,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.6,78,,
Downstream_Release,3/12/2019 20:41,C945,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.8,80,,
Downstream_Release,3/12/2019 20:41,CA75,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.2,81,,
Downstream_Release,3/12/2019 20:41,CADC,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.1,79,,
Downstream_Release,3/12/2019 20:41,CAED,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,6,82,,
Downstream_Release,3/12/2019 20:41,C9AE,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.6,84,,
Downstream_Release,3/12/2019 20:41,C99A,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,6.3,85,,
Downstream_Release,3/12/2019 20:41,CB16,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.8,82,,
Downstream_Release,3/12/2019 20:41,C9B4,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,6.1,86,,
Downstream_Release,3/12/2019 20:41,C925,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.5,78,,
Downstream_Release,3/12/2019 20:41,CA24,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.5,77,,
Downstream_Release,3/12/2019 20:41,CA45,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,6.8,88,,
Downstream_Release,3/12/2019 20:41,CA5D,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.5,82,,
Downstream_Release,3/12/2019 20:41,CB6C,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.6,83,,
Downstream_Release,3/12/2019 20:41,CA64,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5,79,,
Downstream_Release,3/12/2019 20:41,CA9C,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.5,83,,
Downstream_Release,3/12/2019 20:41,C924,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.3,83,,
Downstream_Release,3/12/2019 20:41,CAA3,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.8,78,,
Downstream_Release,3/12/2019 20:41,CB46,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.8,80,,
Downstream_Release,3/12/2019 20:41,CAC5,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.7,80,,
Downstream_Release,3/12/2019 20:41,CB74,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.8,84,,
Downstream_Release,3/12/2019 20:41,CA28,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.5,80,,
Downstream_Release,3/12/2019 20:41,CA53,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.3,82,,
Downstream_Release,3/12/2019 20:41,CACE,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.7,82,,
Downstream_Release,3/12/2019 20:41,C92B,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.3,84,,
Downstream_Release,3/12/2019 20:41,C9A2,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.9,81,,
Downstream_Release,3/12/2019 20:41,CA8B,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.9,80,,
Downstream_Release,3/12/2019 20:41,CA5B,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.7,83,,
Downstream_Release,3/12/2019 20:41,CB2D,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.1,82,,
Downstream_Release,3/12/2019 20:41,CA36,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.5,78,,
Downstream_Release,3/12/2019 20:41,CB58,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.1,80,,
Downstream_Release,3/12/2019 20:41,CB8A,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.8,84,,
Downstream_Release,3/12/2019 20:41,CB12,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5,81,,
Downstream_Release,3/12/2019 20:41,C9B2,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.8,84,,
Downstream_Release,3/12/2019 20:41,CB26,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5,80,,
Downstream_Release,3/12/2019 20:41,CB94,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.1,79,,
Downstream_Release,3/12/2019 20:41,CA8C,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.6,84,,
Downstream_Release,3/12/2019 20:41,C92D,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.5,82,,
Downstream_Release,3/12/2019 20:41,CA84,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.8,80,,
Downstream_Release,3/12/2019 20:41,CA4C,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,6.4,85,,
Downstream_Release,3/12/2019 20:41,C92C,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,6.4,86,,
Downstream_Release,3/12/2019 20:41,CA59,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.5,77,,
Downstream_Release,3/12/2019 20:41,CA89,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.3,81,,
Downstream_Release,3/12/2019 20:41,CAD8,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.9,80,,
Downstream_Release,3/12/2019 20:41,CB29,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.3,83,,
Downstream_Release,3/12/2019 20:41,CA4D,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5,81,,
Downstream_Release,3/12/2019 20:41,C995,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.2,81,,
Downstream_Release,3/12/2019 20:41,C92E,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.3,83,,
Downstream_Release,3/12/2019 20:41,C915,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.3,84,,
Downstream_Release,3/12/2019 20:41,CAF5,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5,82,,
Downstream_Release,3/12/2019 20:41,C95B,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.8,85,,
Downstream_Release,3/12/2019 20:41,CB56,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.6,80,,
Downstream_Release,3/12/2019 20:41,C96E,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.6,80,,
Downstream_Release,3/12/2019 20:41,CB25,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.8,83,,
Downstream_Release,3/12/2019 20:41,CBA2,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.6,79,,
Downstream_Release,3/12/2019 20:41,CABC,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.7,79,,
Downstream_Release,3/12/2019 20:41,CAE9,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.5,82,,
Downstream_Release,3/12/2019 20:41,CA9E,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.6,80,,
Downstream_Release,3/12/2019 20:41,C928,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.9,85,,
Downstream_Release,3/12/2019 20:41,CB5D,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.6,79,,
