GPS Names,SN,Filename,Rec Make,Rec Battery Start,Start Study,End Study,End Time (out of water),Temp Logger SN,Beacon ID,Beacon Burst Rate,Rec Battery End,Battery,BatteryID,Bat life days,BatVoltStart,BatVoltEnd,File Size (KB),Rec Deployment Notes,Detection Notes,Even more comments,Mooring Type,Last valid detection,Data Coverage,Coverage Problem,Recovered by,Deployed by,Rec Time clock set at,Real time (PC) stop at,Rec time stop at,difference between real time - rec time
CVP_Tank2_J,20176071,,Teknologic,,1/17/2019 16:29,5/7/2019 14:00,,,,,,,,,,,,"DL'ed all data up to this point, then formatted card and synced clock, TT 00CA@ 16:47; DL'ed- got all data",,,Tank,,,,,,,,,
CVP_Tank2_J,20176071,,Teknologic,,5/7/2019 14:00,7/10/2019 0:00,,,,,,,,,,,,"synced clock, rec was never turned off; end study is the date that Matt pulled data from cloud to use for analysis, receiver still in tank",,,,,,,,,,,,
CVP_Tank3_J,20176070,,Teknologic,,1/17/2019 16:47,5/7/2019 14:30,,,,,,,,,,,,"DL'ed all data up to this point, then formatted card and synced clock, TT 00CA@ 16:29; DL'ed- got all data",,,,,,,,,,,,
CVP_Tank3_J,20176070,,Teknologic,,5/7/2019 14:30,7/10/2019 0:00,,,,,,,,,,,,"synced clock, rec was never turned off; end study is the date that Matt pulled data from cloud to use for analysis, receiver still in tank",,,,,,,,,,,,
CVP_Tank4_J,20176069,,Teknologic,,3/8/2019 12:00,5/7/2019 15:00,,,,,,,,,,,,"hydrophone was not working on 1/17, on 3/8/19 it was switched out by Gabe and started working; DL'ed- got all data",,"rec DL'ed and formatted on 1/17, but started picking up dets on 3/8 ",,,,,,,,,,
CVP_Tank4_J,20176069,,Teknologic,,5/7/2019 15:00,7/10/2019 0:00,,,,,,,,,,,,"synced clock, rec was never turned off; end study is the date that Matt pulled data from cloud to use for analysis, receiver still in tank",,,,,,,,,,,,
CVPD_J,18027,,ATS,1/17/2019,1/17/2019 13:58,3/10/2019 5:37,5/7/2019 12:37,,,,,,,,3.64,,,"initial deployment TTF755 @ 13:23; receiver download and replacement: only recorded 52 days worth of data before dying, replaced with ATS 18028",,"switched names for 2019 DB, see locations sheet",cabled to walk way railing,,,,,"CH, GS",,,,
CVPD_J,18028,,ATS,5/6/2019,5/7/2019 13:00,,,,,,,,,,,,,"deployed ATS 18028 as replacement, rec was tested day before but no lights flashed when checked before deploying- deployed rec anyways;",,,,,,,,,,,,
CVPU_J,20156037,,Teknologic,1/17/2019,1/17/2019 15:21,7/10/2019 0:00,,,F755,60,,,,,4.18,,,"initial deployment; end stidy date is the date the Matt pulled the data off of the cloud for this receiver, it is still at the CVP as of 8/8/19",,"switched names for 2019 DB, see locations sheet",,,,,,"CH, GS",,,,
Delt_TC_1_J,20176011,,Teknologic,2/11/2019,2/12/2019 10:33,3/26/2019 11:28,3/26/2019 11:28,,F7AA,60,,,,,4.2,,,"initial deployment TT038C @ 10:11; functionality check: RED BAD only dl'ed BIN file named ""unknown"", swapped out and replaced with receiver 20176018",,"same location as 2018, used same cable and wieghts. Receiver was thrown in crooked and maybe hydrophone tip hit weights on way down. Poulled back up to check, flashed green so considered it fine",T post,,,,,"CH, WX",,,,
Delt_TC_1_J,20176018,,Teknologic,3/18/2019,3/26/2019 11:58,5/31/2019 11:21,5/31/2019 11:21,,F7AA,60,,,,,,,,"deployed rec 20176018 as replacement; mid deason DL- BAD REC: only downloaed ""unknown"" files again swapped out and replaced with 2017-6003",,,,,,,,,,,,
Delt_TC_1_J,20176003,,Teknologic,5/15/2019,5/31/2019 11:45,6/26/2019 11:35,6/26/2019 11:35,,F7AA,60,,ALIVE,,,,3.8,,deployed new rec 20176003; FINAL RETRIEVAL TT00CA @11:40,,,,,,,,,,,,
Delt_TC_2_J,20176001,,Teknologic,2/8/2019,2/12/2019 11:14,3/26/2019 12:01,,,,,,,,,4.22,,,initial deployment TT038C @ 10:51; functionality check- all good TT00C9@12:03,,"basically same site,moved location slightly from 2018, cabled to larger tree on left",cabled to tree,,,,,"CH, WX",,,,
Delt_TC_2_J,20176001,,Teknologic,2/8/2019,3/26/2019 12:13,5/31/2019 12:09,,,,,,,,,,,,"redeployed; mid season DL- got all data TT00C9@ 12:10- rec was pulled into shore when arrived, hydrophone still under water though and was picking up TT across river so may have continued to detect tags the whole time ",,,,,,,,,,,,
Delt_TC_2_J,20176001,,Teknologic,2/8/2019,5/31/2019 12:46,6/20/2019 2:56,6/26/2019 11:09,,,,,DEAD,,,,2.9,,redeployed in NEW LOCATION; final retrieval DOA,,"new gps coords: 37.98956,-121.45905 in J2 gps as TC2 2019 Moved",,,,,,,,,,
MidR_hwy4_1_J,20156002,,Teknologic,2/6/2019,2/8/2019 9:52,3/25/2019 11:29,,,,,,,,,4.23,,,"initial deployment TT00Ca @ 9:44;functionality check, all data good TT00c9 @11:30",,"same location as 2018, just to right of tules",T post,,,,,"CH, WX, HB",,,,
